person_id,gender,gender_confidence,group_size,group_type,co_walkers,carrying_load,carrying_load_tag,avg_walking_speed_mps,avg_walking_speed_kmh,max_walking_speed_mps,max_walking_speed_kmh,speed_category,currently_waiting,total_waiting_time_sec,total_duration_sec,waiting_time_pct,num_crossing_attempts,attempt_behavior,mean_heading_deg,compass_heading,body_gesture_state,crossing_orientation,motion_jerk_mps3,total_distance_m,ever_in_crossing_corridor,ever_in_zebra
1,Male,0.9908,1,Alone,None,Backpack / Shoulder Bag,Carrying Load,0.012,0.04,0.048,0.17,Stationary / Paused (<0.3 m/s),Yes,18.02,18.02,100.0,0,Non-Crossing,122.2,SW,Standing / Stationary Posture (Curbside Attention),Parallel / Longitudinal (Along Road Margin),0.002,0.23,No,No
2,Male,0.9857,1,Alone,None,Backpack / Shoulder Bag,Carrying Load,0.024,0.09,0.039,0.14,Stationary / Paused (<0.3 m/s),Yes,204.2,204.2,100.0,0,Non-Crossing,264.9,N,Standing / Stationary Posture (Curbside Attention),Perpendicular / Crosswalk-Aligned (Direct),0.0,1.88,No,No
4,Female,0.9903,1,Alone,None,No Visible Load,No Load,0.016,0.06,0.038,0.14,Stationary / Paused (<0.3 m/s),Yes,16.02,16.02,100.0,0,Non-Crossing,201.4,W,Standing / Stationary Posture (Curbside Attention),Diagonal / Angular Crossing,0.001,0.19,No,No
5,Male,0.9764,1,Alone,None,Backpack / Shoulder Bag,Carrying Load,0.006,0.02,0.019,0.07,Stationary / Paused (<0.3 m/s),Yes,174.18,174.18,100.0,0,Non-Crossing,185.0,W,Standing / Stationary Posture (Curbside Attention),Diagonal / Angular Crossing,0.001,0.3,No,No
6,Female,0.9896,1,Alone,None,No Visible Load,No Load,0.011,0.04,0.049,0.18,Stationary / Paused (<0.3 m/s),Yes,768.77,768.77,100.0,0,Non-Crossing,190.7,W,Standing / Stationary Posture (Curbside Attention),Diagonal / Angular Crossing,0.003,6.77,No,No
7,Male,0.9567,1,Alone,None,Backpack / Shoulder Bag,Carrying Load,0.023,0.08,0.12,0.43,Stationary / Paused (<0.3 m/s),Yes,496.5,496.5,100.0,0,Non-Crossing,166.5,W,Standing / Stationary Posture (Curbside Attention),Parallel / Longitudinal (Along Road Margin),0.006,6.03,No,No
9,Male,0.9157,1,Alone,None,Backpack / Shoulder Bag,Carrying Load,0.007,0.02,0.011,0.04,Stationary / Paused (<0.3 m/s),Yes,14.02,14.02,100.0,0,Non-Crossing,169.1,W,Standing / Stationary Posture (Curbside Attention),Parallel / Longitudinal (Along Road Margin),0.0,0.09,No,No
13,Male,0.9622,1,Alone,None,Backpack / Shoulder Bag,Carrying Load,0.026,0.09,0.05,0.18,Stationary / Paused (<0.3 m/s),Yes,20.02,20.02,100.0,0,Non-Crossing,186.4,W,Standing / Stationary Posture (Curbside Attention),Diagonal / Angular Crossing,0.002,0.26,No,No
14,Male,0.9892,1,Alone,None,Backpack / Shoulder Bag,Carrying Load,0.005,0.02,0.019,0.07,Stationary / Paused (<0.3 m/s),Yes,82.08,82.08,100.0,0,Non-Crossing,159.2,W,Standing / Stationary Posture (Curbside Attention),Parallel / Longitudinal (Along Road Margin),0.0,0.31,No,No
15,Female,0.9822,1,Alone,None,No Visible Load,No Load,0.002,0.01,0.002,0.01,Stationary / Paused (<0.3 m/s),Yes,44.04,44.04,100.0,0,Non-Crossing,150.8,SW,Standing / Stationary Posture (Curbside Attention),Parallel / Longitudinal (Along Road Margin),0.0,0.1,No,No
