person_id,frame_id,timestamp_sec,gender,group_size,carrying_load,pos_x_px,pos_y_px,pos_x_m,pos_y_m,speed_mps,speed_kmh,acceleration_mps2,heading_deg,compass_heading,is_waiting,in_roadway,in_crossing_corridor,in_zebra,instantaneous_posture
1,0,0.0,Male,1,Carrying Load,2956.0,2152.6,44.34,32.289,0.001,0.0,0.0,92.9,S,1,0,0,0,Waiting / Paused
1,60,2.0,Male,1,Carrying Load,2956.0,2152.8,44.34,32.291,0.001,0.0,0.0,92.9,S,1,0,0,0,Waiting / Paused
1,120,4.0,Male,1,Carrying Load,2956.2,2153.2,44.343,32.298,0.004,0.01,0.001,64.7,SE,1,0,0,0,Waiting / Paused
1,180,6.01,Male,1,Carrying Load,2956.2,2151.5,44.343,32.273,0.012,0.04,0.004,270.3,N,1,0,0,0,Waiting / Paused
1,240,8.01,Male,1,Carrying Load,2956.3,2151.9,44.345,32.278,0.003,0.01,-0.005,73.7,S,1,0,0,0,Waiting / Paused
1,300,10.01,Male,1,Carrying Load,2955.1,2152.3,44.327,32.284,0.009,0.03,0.003,161.5,W,1,0,0,0,Waiting / Paused
1,360,12.01,Male,1,Carrying Load,2956.7,2152.9,44.351,32.294,0.013,0.05,0.002,22.4,E,1,0,0,0,Waiting / Paused
1,420,14.01,Male,1,Carrying Load,2955.5,2152.4,44.333,32.285,0.01,0.04,-0.001,205.0,NW,1,0,0,0,Waiting / Paused
1,480,16.02,Male,1,Carrying Load,2953.6,2153.6,44.305,32.303,0.017,0.06,0.003,147.3,SW,1,0,0,0,Waiting / Paused
1,540,18.02,Male,1,Carrying Load,2953.5,2160.0,44.302,32.4,0.048,0.17,0.016,91.6,S,1,0,0,0,Waiting / Paused
2,0,0.0,Male,1,Carrying Load,2291.5,843.1,34.373,12.646,0.039,0.14,0.0,264.5,N,1,1,0,0,Waiting / Paused
2,60,2.0,Male,1,Carrying Load,2291.0,838.0,34.366,12.569,0.039,0.14,0.0,264.5,N,1,1,0,0,Waiting / Paused
2,2880,96.1,Male,1,Carrying Load,2288.7,779.4,34.331,11.692,0.009,0.03,-0.0,267.7,N,1,1,0,0,Waiting / Paused
2,6120,204.2,Male,1,Carrying Load,2281.1,718.1,34.216,10.771,0.009,0.03,-0.0,262.9,N,1,1,0,0,Waiting / Paused
4,0,0.0,Female,1,No Load,1209.3,1633.7,18.14,24.506,0.009,0.03,0.0,265.3,N,1,1,0,0,Waiting / Paused
4,60,2.0,Female,1,No Load,1209.3,1632.6,18.139,24.489,0.009,0.03,0.0,265.3,N,1,1,0,0,Waiting / Paused
4,360,12.01,Female,1,No Load,1209.6,1636.2,18.143,24.542,0.005,0.02,-0.0,85.0,S,1,1,0,0,Waiting / Paused
4,420,14.01,Female,1,No Load,1209.6,1633.4,18.144,24.501,0.021,0.07,0.008,270.3,N,1,1,0,0,Waiting / Paused
4,480,16.02,Female,1,No Load,1207.0,1637.8,18.104,24.567,0.038,0.14,0.009,120.8,SW,1,1,0,0,Waiting / Paused
5,1020,34.03,Male,1,Carrying Load,1924.4,2158.6,28.866,32.38,0.019,0.07,0.0,239.3,NW,1,0,0,0,Waiting / Paused
5,1080,36.04,Male,1,Carrying Load,1923.1,2156.5,28.847,32.348,0.019,0.07,0.0,239.3,NW,1,0,0,0,Waiting / Paused
5,1140,38.04,Male,1,Carrying Load,1923.2,2156.1,28.848,32.342,0.003,0.01,-0.008,279.6,N,1,0,0,0,Waiting / Paused
5,1380,46.05,Male,1,Carrying Load,1924.6,2155.4,28.868,32.33,0.003,0.01,-0.0,330.9,NE,1,0,0,0,Waiting / Paused
5,1440,48.05,Male,1,Carrying Load,1923.9,2154.9,28.859,32.324,0.006,0.02,0.001,215.5,NW,1,0,0,0,Waiting / Paused
5,1560,52.05,Male,1,Carrying Load,1923.3,2156.4,28.849,32.345,0.006,0.02,0.0,114.3,SW,1,0,0,0,Waiting / Paused
5,2580,86.09,Male,1,Carrying Load,1924.7,2156.9,28.87,32.353,0.001,0.0,-0.0,20.4,E,1,0,0,0,Waiting / Paused
5,2640,88.09,Male,1,Carrying Load,1924.5,2157.3,28.867,32.359,0.003,0.01,0.001,115.3,SW,1,0,0,0,Waiting / Paused
5,3360,112.11,Male,1,Carrying Load,1924.3,2155.4,28.865,32.331,0.001,0.0,-0.0,265.5,N,1,0,0,0,Waiting / Paused
5,3420,114.11,Male,1,Carrying Load,1925.1,2156.8,28.877,32.352,0.012,0.04,0.005,60.1,SE,1,0,0,0,Waiting / Paused
5,3480,116.12,Male,1,Carrying Load,1924.7,2157.9,28.871,32.368,0.008,0.03,-0.002,109.8,S,1,0,0,0,Waiting / Paused
5,5580,186.19,Male,1,Carrying Load,1923.6,2156.8,28.853,32.352,0.0,0.0,-0.0,221.4,NW,1,0,0,0,Waiting / Paused
5,5880,196.2,Male,1,Carrying Load,1923.6,2158.4,28.853,32.376,0.002,0.01,0.0,90.0,S,1,0,0,0,Waiting / Paused
5,6240,208.21,Male,1,Carrying Load,1924.7,2155.1,28.87,32.327,0.004,0.02,0.0,288.9,N,1,0,0,0,Waiting / Paused
6,1260,42.04,Female,1,No Load,1209.4,1723.1,18.141,25.847,0.016,0.06,0.0,293.9,NE,1,0,0,0,Waiting / Paused
6,1320,44.04,Female,1,No Load,1210.3,1721.2,18.154,25.818,0.016,0.06,0.0,293.9,NE,1,0,0,0,Waiting / Paused
6,1380,46.05,Female,1,No Load,1209.8,1722.1,18.147,25.831,0.007,0.03,-0.004,116.2,SW,1,0,0,0,Waiting / Paused
6,1500,50.05,Female,1,No Load,1209.4,1722.6,18.142,25.839,0.002,0.01,-0.001,126.4,SW,1,0,0,0,Waiting / Paused
6,1620,54.05,Female,1,No Load,1210.7,1723.3,18.161,25.85,0.005,0.02,0.001,29.4,SE,1,0,0,0,Waiting / Paused
6,1680,56.06,Female,1,No Load,1208.9,1724.2,18.134,25.863,0.015,0.05,0.005,154.5,SW,1,0,0,0,Waiting / Paused
6,1740,58.06,Female,1,No Load,1209.3,1722.1,18.139,25.832,0.016,0.06,0.0,278.9,N,1,0,0,0,Waiting / Paused
6,1800,60.06,Female,1,No Load,1210.5,1720.5,18.157,25.807,0.015,0.05,-0.0,306.8,NE,1,0,0,0,Waiting / Paused
6,1920,64.06,Female,1,No Load,1209.5,1721.8,18.142,25.827,0.006,0.02,-0.002,127.2,SW,1,0,0,0,Waiting / Paused
6,1980,66.07,Female,1,No Load,1209.5,1723.8,18.142,25.856,0.015,0.05,0.004,90.9,S,1,0,0,0,Waiting / Paused
