person_id,gender,mean_stride_length_m,max_stride_length_m,mean_step_length_m,mean_cadence_steps_per_min,mean_step_frequency_hz,mean_stride_frequency_hz,total_estimated_steps,total_estimated_strides,mean_walking_speed_mps,max_walking_speed_mps,group_size,group_crossing_category,co_walkers,crossing_origin_side,crossing_destination_side,crossing_transition,crossing_behavior_type,crosswalk_facility_used,net_displacement_m,total_path_m,duration_sec
1,Male,0.108,0.181,0.054,11.6,0.19,0.1,5,2,0.012,0.048,1,Single Pedestrian Crossing,None,South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.12,0.23,18.0
2,Male,0.128,0.155,0.064,20.3,0.34,0.17,31,15,0.024,0.039,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,None (Shoulder / Non-Crosswalk),1.88,1.88,204.2
4,Female,0.111,0.153,0.055,16.4,0.27,0.14,4,2,0.016,0.038,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,None (Shoulder / Non-Crosswalk),0.07,0.19,16.0
5,Male,0.1,0.1,0.05,7.6,0.13,0.06,6,3,0.006,0.019,1,Single Pedestrian Crossing,None,South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.05,0.3,174.2
6,Female,0.102,0.183,0.051,13.0,0.22,0.11,132,66,0.011,0.049,4,Group Crossing (>2 people),"35, 7, 13",South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.29,6.77,768.8
7,Male,0.125,0.342,0.062,18.4,0.31,0.15,97,49,0.023,0.12,4,Group Crossing (>2 people),"6, 35, 13",South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.65,6.03,496.5
9,Male,0.1,0.1,0.05,8.0,0.13,0.07,2,1,0.007,0.011,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,None (Shoulder / Non-Crosswalk),0.03,0.09,14.0
13,Male,0.134,0.185,0.067,19.6,0.32,0.16,4,2,0.026,0.05,4,Group Crossing (>2 people),"6, 35, 7",South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.09,0.26,20.0
14,Male,0.1,0.1,0.05,6.3,0.11,0.05,6,3,0.005,0.019,1,Single Pedestrian Crossing,None,North Kerb Side,North Kerb Side,North Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.07,0.31,82.1
15,Female,0.1,0.1,0.05,2.5,0.04,0.02,2,1,0.002,0.002,1,Single Pedestrian Crossing,None,South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.06,0.1,44.0
16,Male,0.108,0.239,0.054,11.8,0.2,0.1,14,7,0.012,0.072,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,None (Shoulder / Non-Crosswalk),0.05,0.74,88.1
17,Female,0.317,0.624,0.159,37.2,0.62,0.31,10,5,0.116,0.258,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,Central Crossing Corridor,0.23,0.87,6.0
18,Male,0.214,0.229,0.107,34.4,0.57,0.29,2,1,0.062,0.068,1,Single Pedestrian Crossing,None,South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,Central Crossing Corridor,0.23,0.24,4.0
20,Male,0.1,0.1,0.05,11.4,0.19,0.09,1,0,0.01,0.012,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,None (Shoulder / Non-Crosswalk),0.02,0.04,4.0
21,Male,0.1,0.1,0.05,8.1,0.14,0.07,4,2,0.007,0.009,1,Single Pedestrian Crossing,None,South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.21,0.22,60.1
24,Male,0.1,0.1,0.05,5.2,0.09,0.04,1,1,0.004,0.011,1,Single Pedestrian Crossing,None,North Kerb Side,North Kerb Side,North Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.04,0.07,50.0
25,Male,0.108,0.124,0.054,24.7,0.41,0.21,2,1,0.022,0.028,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,None (Shoulder / Non-Crosswalk),0.02,0.1,4.0
26,Male,0.1,0.1,0.05,10.0,0.17,0.08,3,2,0.008,0.013,1,Single Pedestrian Crossing,None,South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.04,0.16,22.0
29,Female,0.127,0.181,0.064,25.3,0.42,0.21,3,1,0.028,0.048,1,Single Pedestrian Crossing,None,North Kerb Side,North Kerb Side,North Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.1,0.13,4.0
33,Female,0.1,0.1,0.05,18.6,0.31,0.16,1,1,0.016,0.019,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,None (Shoulder / Non-Crosswalk),0.04,0.06,4.0
35,Male,0.131,0.579,0.066,17.4,0.29,0.15,68,34,0.024,0.224,4,Group Crossing (>2 people),"6, 7, 13",South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.14,4.03,432.4
37,Female,0.12,0.153,0.06,26.5,0.44,0.22,5,2,0.027,0.038,1,Single Pedestrian Crossing,None,North Kerb Side,North Kerb Side,North Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.07,0.27,10.0
38,Male,0.132,0.145,0.066,27.9,0.47,0.23,2,1,0.031,0.035,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,Central Crossing Corridor,0.02,0.16,6.0
41,Male,0.1,0.1,0.05,11.4,0.19,0.1,2,1,0.009,0.02,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,None (Shoulder / Non-Crosswalk),0.08,0.12,10.0
42,Male,0.148,0.217,0.074,25.8,0.43,0.21,27,14,0.035,0.063,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Corridor Traversal,Corridor Crossing,Central Crossing Corridor,1.1,1.62,144.1
43,Female,0.405,0.49,0.202,38.6,0.65,0.32,2,1,0.132,0.163,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,Central Crossing Corridor,0.47,0.47,4.0
45,Female,0.109,0.292,0.055,15.1,0.25,0.13,77,39,0.015,0.096,1,Single Pedestrian Crossing,None,North Kerb Side,North Kerb Side,North Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.19,4.15,288.3
46,Male,0.199,0.271,0.1,28.9,0.48,0.24,5,2,0.054,0.086,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,None (Shoulder / Non-Crosswalk),0.31,0.32,8.0
47,Male,0.1,0.1,0.05,10.8,0.18,0.09,3,1,0.009,0.013,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,Central Crossing Corridor,0.06,0.14,14.0
48,Male,0.127,0.14,0.063,23.5,0.39,0.2,3,1,0.026,0.034,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,None (Shoulder / Non-Crosswalk),0.18,0.18,12.0
49,Female,0.173,0.217,0.086,29.9,0.5,0.25,5,2,0.045,0.062,1,Single Pedestrian Crossing,None,South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.09,0.45,10.0
50,Female,0.247,0.292,0.124,36.2,0.61,0.3,31,15,0.077,0.096,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Corridor Traversal,Corridor Crossing,Central Crossing Corridor,4.46,4.46,110.1
51,Male,0.112,0.143,0.056,21.4,0.36,0.18,3,1,0.021,0.034,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,None (Shoulder / Non-Crosswalk),0.01,0.16,8.0
52,Male,0.1,0.1,0.05,9.8,0.17,0.08,1,0,0.008,0.011,1,Single Pedestrian Crossing,None,South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.04,0.04,10.0
55,Female,0.101,0.105,0.05,11.4,0.19,0.09,9,4,0.01,0.022,1,Single Pedestrian Crossing,None,South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.13,0.45,68.1
57,Male,0.138,0.262,0.069,16.5,0.27,0.14,16,8,0.025,0.082,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,Central Crossing Corridor,0.59,1.13,108.1
61,Female,0.118,0.172,0.059,24.7,0.41,0.21,3,1,0.025,0.045,1,Single Pedestrian Crossing,None,South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.03,0.16,6.0
64,Male,0.1,0.1,0.05,1.8,0.03,0.02,1,1,0.001,0.003,1,Single Pedestrian Crossing,None,South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.04,0.07,182.2
