person_id,frame_id,timestamp_sec,spatial_zone,pos_x_m,pos_y_m,speed_mps,step_length_m,stride_length_m,cadence_steps_per_min,step_frequency_hz,stride_frequency_hz,group_category,in_crossing_corridor,in_zebra
1,0,0.0,South Kerb Side,44.34,32.289,0.001,0.05,0.1,1.2,0.02,0.01,Single Pedestrian Crossing,0,0
1,60,2.0,South Kerb Side,44.34,32.291,0.001,0.05,0.1,1.2,0.02,0.01,Single Pedestrian Crossing,0,0
1,120,4.0,South Kerb Side,44.343,32.298,0.004,0.05,0.1,4.2,0.07,0.04,Single Pedestrian Crossing,0,0
1,180,6.01,South Kerb Side,44.343,32.273,0.012,0.05,0.1,14.8,0.25,0.12,Single Pedestrian Crossing,0,0
1,240,8.01,South Kerb Side,44.345,32.278,0.003,0.05,0.1,3.2,0.05,0.03,Single Pedestrian Crossing,0,0
1,300,10.01,South Kerb Side,44.327,32.284,0.009,0.05,0.1,11.3,0.19,0.09,Single Pedestrian Crossing,0,0
1,360,12.01,South Kerb Side,44.351,32.294,0.013,0.05,0.1,15.6,0.26,0.13,Single Pedestrian Crossing,0,0
1,420,14.01,South Kerb Side,44.333,32.285,0.01,0.05,0.1,12.3,0.2,0.1,Single Pedestrian Crossing,0,0
1,480,16.02,South Kerb Side,44.305,32.303,0.017,0.05,0.1,19.8,0.33,0.17,Single Pedestrian Crossing,0,0
1,540,18.02,South Kerb Side,44.302,32.4,0.048,0.09,0.181,32.0,0.53,0.27,Single Pedestrian Crossing,0,0
2,0,0.0,Median Side,34.373,12.646,0.039,0.077,0.155,29.9,0.5,0.25,Single Pedestrian Crossing,0,0
2,60,2.0,Median Side,34.366,12.569,0.039,0.077,0.155,29.9,0.5,0.25,Single Pedestrian Crossing,0,0
2,2880,96.1,Median Side,34.331,11.692,0.009,0.05,0.1,11.2,0.19,0.09,Single Pedestrian Crossing,0,0
2,6120,204.2,Median Side,34.216,10.771,0.009,0.05,0.1,10.3,0.17,0.09,Single Pedestrian Crossing,0,0
4,0,0.0,Median Side,18.14,24.506,0.009,0.05,0.1,10.4,0.17,0.09,Single Pedestrian Crossing,0,0
4,60,2.0,Median Side,18.139,24.489,0.009,0.05,0.1,10.4,0.17,0.09,Single Pedestrian Crossing,0,0
4,360,12.01,Median Side,18.143,24.542,0.005,0.05,0.1,6.4,0.11,0.05,Single Pedestrian Crossing,0,0
4,420,14.01,Median Side,18.144,24.501,0.021,0.05,0.1,24.8,0.41,0.21,Single Pedestrian Crossing,0,0
4,480,16.02,Median Side,18.104,24.567,0.038,0.077,0.153,29.8,0.5,0.25,Single Pedestrian Crossing,0,0
5,1020,34.03,South Kerb Side,28.866,32.38,0.019,0.05,0.1,22.3,0.37,0.19,Single Pedestrian Crossing,0,0
5,1080,36.04,South Kerb Side,28.847,32.348,0.019,0.05,0.1,22.3,0.37,0.19,Single Pedestrian Crossing,0,0
5,1140,38.04,South Kerb Side,28.848,32.342,0.003,0.05,0.1,3.7,0.06,0.03,Single Pedestrian Crossing,0,0
5,1380,46.05,South Kerb Side,28.868,32.33,0.003,0.05,0.1,3.5,0.06,0.03,Single Pedestrian Crossing,0,0
5,1440,48.05,South Kerb Side,28.859,32.324,0.006,0.05,0.1,7.0,0.12,0.06,Single Pedestrian Crossing,0,0
5,1560,52.05,South Kerb Side,28.849,32.345,0.006,0.05,0.1,7.2,0.12,0.06,Single Pedestrian Crossing,0,0
5,2580,86.09,South Kerb Side,28.87,32.353,0.001,0.05,0.1,1.2,0.02,0.01,Single Pedestrian Crossing,0,0
5,2640,88.09,South Kerb Side,28.867,32.359,0.003,0.05,0.1,3.8,0.06,0.03,Single Pedestrian Crossing,0,0
5,3360,112.11,South Kerb Side,28.865,32.331,0.001,0.05,0.1,1.4,0.02,0.01,Single Pedestrian Crossing,0,0
5,3420,114.11,South Kerb Side,28.877,32.352,0.012,0.05,0.1,14.4,0.24,0.12,Single Pedestrian Crossing,0,0
5,3480,116.12,South Kerb Side,28.871,32.368,0.008,0.05,0.1,10.2,0.17,0.08,Single Pedestrian Crossing,0,0
5,5580,186.19,South Kerb Side,28.853,32.352,0.0,0.05,0.1,1.2,0.02,0.01,Single Pedestrian Crossing,0,0
5,5880,196.2,South Kerb Side,28.853,32.376,0.002,0.05,0.1,2.9,0.05,0.02,Single Pedestrian Crossing,0,0
5,6240,208.21,South Kerb Side,28.87,32.327,0.004,0.05,0.1,5.2,0.09,0.04,Single Pedestrian Crossing,0,0
6,1260,42.04,South Kerb Side,18.141,25.847,0.016,0.05,0.1,18.9,0.32,0.16,Group Crossing (>2 people),0,0
6,1320,44.04,South Kerb Side,18.154,25.818,0.016,0.05,0.1,18.9,0.32,0.16,Group Crossing (>2 people),0,0
6,1380,46.05,South Kerb Side,18.147,25.831,0.007,0.05,0.1,8.8,0.15,0.07,Group Crossing (>2 people),0,0
6,1500,50.05,South Kerb Side,18.142,25.839,0.002,0.05,0.1,2.9,0.05,0.02,Group Crossing (>2 people),0,0
6,1620,54.05,South Kerb Side,18.161,25.85,0.005,0.05,0.1,6.6,0.11,0.05,Group Crossing (>2 people),0,0
6,1680,56.06,South Kerb Side,18.134,25.863,0.015,0.05,0.1,17.7,0.29,0.15,Group Crossing (>2 people),0,0
6,1740,58.06,South Kerb Side,18.139,25.832,0.016,0.05,0.1,18.8,0.31,0.16,Group Crossing (>2 people),0,0
6,1800,60.06,South Kerb Side,18.157,25.807,0.015,0.05,0.1,18.2,0.3,0.15,Group Crossing (>2 people),0,0
6,1920,64.06,South Kerb Side,18.142,25.827,0.006,0.05,0.1,7.4,0.12,0.06,Group Crossing (>2 people),0,0
6,1980,66.07,South Kerb Side,18.142,25.856,0.015,0.05,0.1,17.5,0.29,0.15,Group Crossing (>2 people),0,0
6,2040,68.07,South Kerb Side,18.137,25.848,0.005,0.05,0.1,5.9,0.1,0.05,Group Crossing (>2 people),0,0
6,2100,70.07,South Kerb Side,18.154,25.816,0.018,0.05,0.1,21.2,0.35,0.18,Group Crossing (>2 people),0,0
6,2160,72.07,South Kerb Side,18.22,25.799,0.034,0.071,0.143,28.9,0.48,0.24,Group Crossing (>2 people),0,0
6,2220,74.07,South Kerb Side,18.16,25.801,0.03,0.065,0.13,27.8,0.46,0.23,Group Crossing (>2 people),0,0
6,2340,78.08,South Kerb Side,18.142,25.844,0.012,0.05,0.1,14.1,0.24,0.12,Group Crossing (>2 people),0,0
6,2400,80.08,South Kerb Side,18.132,25.859,0.009,0.05,0.1,10.7,0.18,0.09,Group Crossing (>2 people),0,0
6,2520,84.08,South Kerb Side,18.157,25.863,0.006,0.05,0.1,7.5,0.12,0.06,Group Crossing (>2 people),0,0
6,2580,86.09,South Kerb Side,18.166,25.855,0.006,0.05,0.1,7.1,0.12,0.06,Group Crossing (>2 people),0,0
6,2640,88.09,South Kerb Side,18.155,25.845,0.007,0.05,0.1,8.6,0.14,0.07,Group Crossing (>2 people),0,0
6,2700,90.09,South Kerb Side,18.152,25.853,0.004,0.05,0.1,5.1,0.08,0.04,Group Crossing (>2 people),0,0
6,2760,92.09,South Kerb Side,18.137,25.871,0.012,0.05,0.1,14.0,0.23,0.12,Group Crossing (>2 people),0,0
6,2820,94.09,South Kerb Side,18.156,25.882,0.011,0.05,0.1,12.9,0.21,0.11,Group Crossing (>2 people),0,0
6,2880,96.1,South Kerb Side,18.131,25.857,0.018,0.05,0.1,21.1,0.35,0.18,Group Crossing (>2 people),0,0
6,2940,98.1,South Kerb Side,18.145,25.824,0.018,0.05,0.1,21.4,0.36,0.18,Group Crossing (>2 people),0,0
6,3000,100.1,South Kerb Side,18.149,25.831,0.004,0.05,0.1,5.2,0.09,0.04,Group Crossing (>2 people),0,0
6,3060,102.1,South Kerb Side,18.153,25.813,0.009,0.05,0.1,11.3,0.19,0.09,Group Crossing (>2 people),0,0
6,3120,104.1,South Kerb Side,18.14,25.87,0.029,0.064,0.127,27.5,0.46,0.23,Group Crossing (>2 people),0,0
6,3180,106.11,South Kerb Side,18.142,25.868,0.002,0.05,0.1,1.8,0.03,0.02,Group Crossing (>2 people),0,0
6,3240,108.11,South Kerb Side,18.133,25.872,0.005,0.05,0.1,5.9,0.1,0.05,Group Crossing (>2 people),0,0
6,3360,112.11,South Kerb Side,18.168,25.838,0.012,0.05,0.1,14.5,0.24,0.12,Group Crossing (>2 people),0,0
6,3420,114.11,South Kerb Side,18.151,25.857,0.013,0.05,0.1,15.3,0.26,0.13,Group Crossing (>2 people),0,0
6,3480,116.12,South Kerb Side,18.17,25.844,0.012,0.05,0.1,13.9,0.23,0.12,Group Crossing (>2 people),0,0
6,3540,118.12,South Kerb Side,18.15,25.85,0.01,0.05,0.1,12.4,0.21,0.1,Group Crossing (>2 people),0,0
6,3720,124.12,South Kerb Side,18.21,25.795,0.014,0.05,0.1,16.2,0.27,0.14,Group Crossing (>2 people),0,0
6,3780,126.13,South Kerb Side,18.15,25.827,0.034,0.071,0.141,28.8,0.48,0.24,Group Crossing (>2 people),0,0
6,3840,128.13,South Kerb Side,18.127,25.803,0.016,0.05,0.1,19.6,0.33,0.16,Group Crossing (>2 people),0,0
6,3900,130.13,South Kerb Side,18.145,25.837,0.019,0.05,0.1,23.0,0.38,0.19,Group Crossing (>2 people),0,0
6,3960,132.13,South Kerb Side,18.148,25.816,0.01,0.05,0.1,12.4,0.21,0.1,Group Crossing (>2 people),0,0
6,4020,134.13,South Kerb Side,18.134,25.809,0.008,0.05,0.1,9.1,0.15,0.08,Group Crossing (>2 people),0,0
6,4140,138.14,South Kerb Side,18.16,25.807,0.006,0.05,0.1,7.7,0.13,0.06,Group Crossing (>2 people),0,0
6,4200,140.14,South Kerb Side,18.174,25.831,0.014,0.05,0.1,16.5,0.27,0.14,Group Crossing (>2 people),0,0
6,4260,142.14,South Kerb Side,18.15,25.815,0.014,0.05,0.1,17.0,0.28,0.14,Group Crossing (>2 people),0,0
6,4380,146.15,South Kerb Side,18.144,25.86,0.011,0.05,0.1,13.6,0.23,0.11,Group Crossing (>2 people),0,0
6,4440,148.15,South Kerb Side,18.133,25.874,0.009,0.05,0.1,10.7,0.18,0.09,Group Crossing (>2 people),0,0
6,4560,152.15,South Kerb Side,18.127,25.94,0.016,0.05,0.1,19.7,0.33,0.16,Group Crossing (>2 people),0,0
6,4680,156.16,South Kerb Side,18.124,25.911,0.007,0.05,0.1,8.8,0.15,0.07,Group Crossing (>2 people),0,0
6,4800,160.16,South Kerb Side,18.1,25.891,0.008,0.05,0.1,9.1,0.15,0.08,Group Crossing (>2 people),0,0
6,5100,170.17,South Kerb Side,18.105,25.949,0.006,0.05,0.1,6.9,0.12,0.06,Group Crossing (>2 people),0,0
6,5160,172.17,South Kerb Side,18.141,25.858,0.049,0.091,0.183,32.2,0.54,0.27,Group Crossing (>2 people),0,0
6,5580,186.19,South Kerb Side,18.148,25.902,0.003,0.05,0.1,3.8,0.06,0.03,Group Crossing (>2 people),0,0
6,5760,192.19,South Kerb Side,18.155,25.934,0.005,0.05,0.1,6.5,0.11,0.05,Group Crossing (>2 people),0,0
6,5820,194.19,South Kerb Side,18.15,25.943,0.005,0.05,0.1,6.1,0.1,0.05,Group Crossing (>2 people),0,0
6,5940,198.2,South Kerb Side,18.123,25.891,0.015,0.05,0.1,17.5,0.29,0.15,Group Crossing (>2 people),0,0
6,6060,202.2,South Kerb Side,18.149,25.833,0.016,0.05,0.1,19.2,0.32,0.16,Group Crossing (>2 people),0,0
