person_id,gender,hat,backpack,upper_clothing_colour,upper_clothing_style,lower_clothing_colour,lower_clothing_style,attribute_confidence,num_detections,first_seen_sec,last_seen_sec,track_duration_sec,crosses_street_ground_truth,cross_start_time_gt_sec,crossing_intention_probability,crossing_predicted,intention_analysis_window
1,Male,No Hat,Backpack,Red,Long,White,Long,0.9908,10,0.0,18.02,18.02,True,18.0,0.9708,Yes,14.00s - 15.00s
2,Male,No Hat,Backpack,Red,Long,White,Long,0.9857,4,0.0,204.2,204.2,N/A,N/A,N/A,N/A,N/A
4,Female,No Hat,No Backpack,Blue,Short,Red,Long,0.9903,5,0.0,16.02,16.02,False,N/A,0.0,No (ground truth),N/A - does not cross
5,Male,No Hat,Backpack,Red,Long,White,Long,0.9764,14,34.03,208.21,174.18,N/A,N/A,N/A,N/A,N/A
6,Female,No Hat,No Backpack,Blue,Short,Red,Long,0.9896,233,42.04,810.81,768.77,N/A,N/A,N/A,N/A,N/A
7,Male,No Hat,Backpack,Red,Long,White,Long,0.9567,95,44.04,540.54,496.5,N/A,N/A,N/A,N/A,N/A
9,Male,No Hat,Backpack,Red,Long,White,Long,0.9157,4,132.13,146.15,14.02,N/A,N/A,N/A,N/A,N/A
13,Male,No Hat,Backpack,Red,Long,White,Long,0.9622,5,222.22,242.24,20.02,N/A,N/A,N/A,N/A,N/A
14,Male,No Hat,Backpack,Red,Long,White,Long,0.9892,12,266.27,348.35,82.08,N/A,N/A,N/A,N/A,N/A
15,Female,No Hat,No Backpack,Blue,Short,Red,Long,0.9822,3,280.28,324.32,44.04,N/A,N/A,N/A,N/A,N/A
16,Male,No Hat,Backpack,Red,Long,White,Long,0.9477,21,294.29,382.38,88.09,N/A,N/A,N/A,N/A,N/A
17,Female,No Hat,No Backpack,Blue,Short,Red,Long,0.7863,4,314.31,320.32,6.01,N/A,N/A,N/A,N/A,N/A
18,Male,No Hat,Backpack,Red,Long,White,Long,0.9733,3,344.34,348.35,4.01,N/A,N/A,N/A,N/A,N/A
20,Male,No Hat,Backpack,Red,Long,White,Long,0.9854,3,356.36,360.36,4.0,N/A,N/A,N/A,N/A,N/A
21,Male,No Hat,Backpack,Red,Long,White,Long,0.9811,3,374.37,434.43,60.06,N/A,N/A,N/A,N/A,N/A
24,Male,No Hat,Backpack,Red,Long,White,Long,0.9867,5,408.41,458.46,50.05,N/A,N/A,N/A,N/A,N/A
25,Male,No Hat,Backpack,Red,Long,White,Long,0.8864,3,590.59,594.59,4.0,N/A,N/A,N/A,N/A,N/A
26,Male,No Hat,Backpack,Red,Long,White,Long,0.9874,6,592.59,614.61,22.02,N/A,N/A,N/A,N/A,N/A
29,Female,No Hat,No Backpack,Blue,Short,Red,Long,0.889,3,646.65,650.65,4.0,N/A,N/A,N/A,N/A,N/A
