person_id,gender,confidence,frame_id,timestamp_sec,time_str,pos_x_px,pos_y_px,pos_x_m,pos_y_m,zone,destination,behavior,speed_mps,speed_kmh,stride_m,step_m,cadence_spm,group_category,carrying_load,waiting_time_sec,crossing_attempts,card_path,crop_path
1,Male,0.9908,180,6.01,00:06.01,2956.2,2151.5,44.34,32.27,South Kerb Side,South Kerb Side,Curbside Stationary / Waiting,0.012,0.04,0.108,0.054,11.6,Single Pedestrian Crossing,Backpack / Shoulder Bag,18.02,0,work/physical_verification\cards\P01_verification_card.jpg,work/physical_verification\crops\P01_crop_f180.jpg
2,Male,0.9857,60,2.0,00:02.00,2291.0,838.0,34.37,12.57,Median Side,Median Side,Median Waiting / Bus Stop,0.024,0.09,0.128,0.064,20.3,Single Pedestrian Crossing,Backpack / Shoulder Bag,204.2,0,work/physical_verification\cards\P02_verification_card.jpg,work/physical_verification\crops\P02_crop_f60.jpg
4,Female,0.9903,480,16.02,00:16.02,1207.0,1637.8,18.1,24.57,Median Side,Median Side,Median Waiting / Bus Stop,0.016,0.06,0.111,0.055,16.4,Single Pedestrian Crossing,No Visible Load,16.02,0,work/physical_verification\cards\P04_verification_card.jpg,work/physical_verification\crops\P04_crop_f480.jpg
5,Male,0.9764,1020,34.03,00:34.03,1924.4,2158.6,28.87,32.38,South Kerb Side,South Kerb Side,Curbside Stationary / Waiting,0.006,0.02,0.1,0.05,7.6,Single Pedestrian Crossing,Backpack / Shoulder Bag,174.18,0,work/physical_verification\cards\P05_verification_card.jpg,work/physical_verification\crops\P05_crop_f1020.jpg
6,Female,0.9896,1740,58.06,00:58.06,1209.3,1722.1,18.14,25.83,South Kerb Side,South Kerb Side,Curbside Stationary / Waiting,0.011,0.04,0.102,0.051,13.0,Group Crossing (>2 people),No Visible Load,768.77,0,work/physical_verification\cards\P06_verification_card.jpg,work/physical_verification\crops\P06_crop_f1740.jpg
7,Male,0.9567,9900,330.33,05:30.33,1206.3,1868.9,18.09,28.03,South Kerb Side,South Kerb Side,Curbside Stationary / Waiting,0.023,0.08,0.125,0.062,18.4,Group Crossing (>2 people),Backpack / Shoulder Bag,496.5,0,work/physical_verification\cards\P07_verification_card.jpg,work/physical_verification\crops\P07_crop_f9900.jpg
9,Male,0.9157,3960,132.13,02:12.13,3034.6,1025.2,45.52,15.38,Median Side,Median Side,Median Waiting / Bus Stop,0.007,0.02,0.1,0.05,8.0,Single Pedestrian Crossing,Backpack / Shoulder Bag,14.02,0,work/physical_verification\cards\P09_verification_card.jpg,work/physical_verification\crops\P09_crop_f3960.jpg
13,Male,0.9622,7260,242.24,04:02.24,1200.6,1917.0,18.01,28.75,South Kerb Side,South Kerb Side,Curbside Stationary / Waiting,0.026,0.09,0.134,0.067,19.6,Group Crossing (>2 people),Backpack / Shoulder Bag,20.02,0,work/physical_verification\cards\P13_verification_card.jpg,work/physical_verification\crops\P13_crop_f7260.jpg
14,Male,0.9892,10440,348.35,05:48.35,1069.3,351.6,16.04,5.27,North Kerb Side,North Kerb Side,Curbside Stationary / Waiting,0.005,0.02,0.1,0.05,6.3,Single Pedestrian Crossing,Backpack / Shoulder Bag,82.08,0,work/physical_verification\cards\P14_verification_card.jpg,work/physical_verification\crops\P14_crop_f10440.jpg
15,Female,0.9822,9720,324.32,05:24.32,1560.2,1726.9,23.4,25.9,South Kerb Side,South Kerb Side,Curbside Stationary / Waiting,0.002,0.01,0.1,0.05,2.5,Single Pedestrian Crossing,No Visible Load,44.04,0,work/physical_verification\cards\P15_verification_card.jpg,work/physical_verification\crops\P15_crop_f9720.jpg
16,Male,0.9477,9480,316.32,05:16.32,3092.6,1009.5,46.39,15.14,Median Side,Median Side,Median Waiting / Bus Stop,0.012,0.04,0.108,0.054,11.8,Single Pedestrian Crossing,Backpack / Shoulder Bag,88.09,0,work/physical_verification\cards\P16_verification_card.jpg,work/physical_verification\crops\P16_crop_f9480.jpg
17,Female,0.7863,9540,318.32,05:18.32,2423.6,1397.0,36.35,20.96,Median Side,Median Side,Median Waiting / Bus Stop,0.116,0.42,0.317,0.159,37.2,Single Pedestrian Crossing,No Visible Load,6.01,1,work/physical_verification\cards\P17_verification_card.jpg,work/physical_verification\crops\P17_crop_f9540.jpg
18,Male,0.9733,10440,348.35,05:48.35,2293.9,1672.5,34.41,25.09,South Kerb Side,South Kerb Side,Curbside Stationary / Waiting,0.062,0.22,0.214,0.107,34.4,Single Pedestrian Crossing,Backpack / Shoulder Bag,4.01,1,work/physical_verification\cards\P18_verification_card.jpg,work/physical_verification\crops\P18_crop_f10440.jpg
20,Male,0.9854,10740,358.36,05:58.36,2203.3,798.8,33.05,11.98,Median Side,Median Side,Median Waiting / Bus Stop,0.01,0.03,0.1,0.05,11.4,Single Pedestrian Crossing,Backpack / Shoulder Bag,4.0,0,work/physical_verification\cards\P20_verification_card.jpg,work/physical_verification\crops\P20_crop_f10740.jpg
21,Male,0.9811,13020,434.43,07:14.43,2613.7,1894.9,39.21,28.42,South Kerb Side,South Kerb Side,Curbside Stationary / Waiting,0.007,0.02,0.1,0.05,8.1,Single Pedestrian Crossing,Backpack / Shoulder Bag,60.06,0,work/physical_verification\cards\P21_verification_card.jpg,work/physical_verification\crops\P21_crop_f13020.jpg
